"id","name","abbr","lat","lng","mesoregion_id"
14001,"Boa Vista","Boa Vista",0.0,0.0,1401
14002,"Nordeste de Roraima","NE RR",0.0,0.0,1401
14003,"Caracaraí","Caracaraí",0.0,0.0,1402
14004,"Sudeste de Roraima","SE RR",0.0,0.0,1402
