ano,id_municipio,masculino,feminino,idade_0_4,idade_5_9,idade_10_14,idade_15_19,idade_20_29,idade_30_39,idade_40_49,idade_50_59,idade_60_69,idade_70_79,idade_80_ou_mais,total
2018,1400027,6539,5855,2012,1629,1361,1236,2077,1531,1126,755,437,173,57,12394
2018,1400050,8366,7272,2094,2190,1767,1385,2468,1879,1420,1189,766,355,125,15638
2018,1400100,187942,187432,32128,31498,32458,34652,75026,69001,46506,29284,15940,6470,2411,375374
2018,1400159,6700,5557,1672,1470,1264,1221,2164,1453,1176,839,639,267,92,12257
2018,1400175,9577,8291,2082,1909,1624,1586,2994,2368,2074,1654,1015,440,122,17868
2018,1400209,11488,10076,2253,2117,1978,2072,4149,3317,2497,1715,952,399,115,21564
2018,1400233,5324,4626,1040,975,863,832,1829,1695,1193,815,431,212,65,9950
2018,1400282,6114,5486,1237,1141,1019,1028,2144,1925,1408,939,497,204,58,11600
2018,1400308,9417,8111,1734,1666,1536,1524,3268,2849,2093,1451,870,410,127,17528
2018,1400407,5950,5095,1758,1586,1326,1206,2038,1221,787,522,346,177,78,11045
2018,1400456,8082,7498,2214,1926,1603,1502,2909,2030,1564,981,557,215,79,15580
2018,1400472,15990,13543,2672,2627,2562,2821,6169,5351,3154,2218,1276,539,144,29533
2018,1400506,4223,3829,811,773,736,751,1545,1450,912,565,315,155,39,8052
2018,1400605,4201,3659,596,580,561,638,1686,1608,935,639,394,164,59,7860
2018,1400704,5410,4915,1889,1645,1352,1091,1747,1124,644,428,229,122,54,10325
